newspaper,allsides,rating,rating_num,source_url,domain
aarp,AARP,center,3.0,,www.aarp.org
go,ABC News,left-center,2.0,,abcnews.go.com
abridgenews,Abridge News,allsides,,,abridgenews.com
aim,Accuracy in Media,right,5.0,,www.aim.org
aclu,ACLU,left-center,2.0,,www.aclu.org
ajplus,AJ+,left,1.0,,www.ajplus.net
,Al Cardenas,,0.0,,
aljazeera,Al Jazeera,left-center,2.0,,www.aljazeera.com
allsides,AllSides,allsides,,,www.allsides.com
,AllSides Community,,0.0,,
,Allysia Finley (Wall Street Journal),,0.0,,
alternet,AlterNet,left,1.0,,www.alternet.org
conservative,American Conservative Union,right,5.0,,conservative.org
,American Enterprise Institute,,0.0,,
amgreatness,American Greatness,right,5.0,,amgreatness.com
spectator,American Spectator,right,5.0,,spectator.org
americanthinker,American Thinker,right,5.0,,www.americanthinker.com
adaction,Americans for Democratic Action,left,1.0,,www.adaction.org
atr,Americans for Tax Reform,right,5.0,,www.atr.org
,Andrew Napolitano,,0.0,,
,Andrew Sullivan,,0.0,,
,Andy Ngo,,0.0,,
,Ann Coulter,,0.0,,
,Annafi Wahed,,0.0,,
,AP,,0.0,,
aquinas,Aquinas College Saint,left,1.0,,www.aquinas.edu
,Arkadi Gerney,,0.0,,
arkansasonline,Arkansas Democrat-Gazette,left,1.0,,www.arkansasonline.com
apnews,Associated Press,center,3.0,,apnews.com
psychologicalscience,Association for Psychological Science,center,3.0,,www.psychologicalscience.org
ajc,Atlanta Journal-Constitution,left-center,2.0,,www.ajc.com
atlasnetwork,Atlas Network,right,5.0,,www.atlasnetwork.org
atlasone,AtlasOne,right-center,4.0,,atlasone.org
mystatesman,Austin American-Statesman,left-center,2.0,,www.mystatesman.com
axios,Axios,center,3.0,,www.axios.com
azcentral,AZ Central,center,3.0,,www.azcentral.com
barnstablepatriot,Barnstable Patriot,center,3.0,,www.barnstablepatriot.com
bbc,BBC News,center,3.0,,www.bbc.com
bearingdrift,Bearing Drift,right,5.0,,www.bearingdrift.com
,Ben Sargent (cartoonist),,0.0,,
,Ben Shapiro,,0.0,,
,Ben Stein,,0.0,,
,Beth Ballentine,,0.0,,
braverangels,Better Angels,allsides,,,braverangels.org
,Billy Binion,,0.0,,
bloomberg,Bloomberg,center,3.0,,www.bloomberg.com
bluevirginia,Blue Virginia,left,1.0,,www.bluevirginia.us
,Bob Gorrell (cartoonist),,0.0,,
boingboing,Boing Boing,left,1.0,,boingboing.net
,Boston Herald,,0.0,,
,Boston Herald Editorial,,0.0,,
bgdailynews,Bowling Green Daily News,left-center,2.0,,www.bgdailynews.com
breitbart,Breitbart News,right,5.0,,www.breitbart.com
,Brent Bozell,,0.0,,
,Bret Stephens,,0.0,,
brookings,Brookings Institution,center,3.0,,www.brookings.edu
businessinsider,Business Insider,center,3.0,,www.businessinsider.com
bustle,Bustle,left-center,2.0,,www.bustle.com
buzzfeednews,BuzzFeed News,left,1.0,,buzzfeednews.com
c-span,C-SPAN,center,3.0,,www.c-span.org
calmatters,CalMatters,center,3.0,,calmatters.org
calwatchdog,CalWatchdog,center,3.0,,www.calwatchdog.com
care2,Care 2,left,1.0,,www.care2.com
carnegieendowment,Carnegie Endowment for International Peace,center,3.0,,carnegieendowment.org
,Carrie Lukas,,0.0,,
,Cathy Young,,0.0,,
cato,Cato Institute (blog),right-center,4.0,,www.cato.org
cbn,CBN,right,5.0,,www.cbn.com
cbsnews,CBS News,left-center,2.0,,www.cbsnews.com
,Center - Major Media Sources,,0.0,,
americanprogress,Center For American Progress,left-center,2.0,,www.americanprogress.org
prwatch,Center for Media & Democracy PR Watch,left-center,2.0,,www.prwatch.org
publicintegrity,Center for Public Integrity,left-center,2.0,,www.publicintegrity.org
,Center for Strategic and Budgetary Assessments,,0.0,,
cbpp,Center on Budget and Policy Priorities,left,1.0,,www.cbpp.org
centre-view,Centre View,left-center,2.0,,www.centre-view.com
,Chan Lowe (cartoonist),,0.0,,
,Charles Blow,,0.0,,
,Charles Krauthammer,,0.0,,
,Charlie Kirk,,0.0,,
suntimes,Chicago Sun-Times,left-center,2.0,,chicago.suntimes.com
chicagotribune,Chicago Tribune,center,3.0,,www.chicagotribune.com
childrensdefense,Children’s Defense Fund,left,1.0,,www.childrensdefense.org
,Chip Bok (cartoonist),,0.0,,
,Chris Britt (cartoonist),,0.0,,
,Chris Ruddy,,0.0,,
csmonitor,Christian Science Monitor,center,3.0,,www.csmonitor.com
,Christiane Amanpour,,0.0,,
,Christopher Buskirk,,0.0,,
,Chuck Asay (cartoonist),,0.0,,
city-journal,City Journal,right,5.0,,www.city-journal.org
civilpolitics,CivilPolitics.org,center,3.0,,www.civilpolitics.org
,Clay Bennett (cartoonist),,0.0,,
cnbc,CNBC,center,3.0,,cnbc.com
cnet,CNET,center,3.0,,www.cnet.com
